team_abbr,airport_code,opponent_team_abbr,opponent_airport_code,est_flight_time,timezone_shift
ATL,ATL,BOS,BED,1.82,0
ATL,ATL,BKN,JFK,1.47,0
ATL,ATL,CHA,CLT,0.5,0
ATL,ATL,CHI,ORD,1.18,-1
ATL,ATL,CLE,CLE,1.08,0
ATL,ATL,DAL,DAL,1.53,-1
ATL,ATL,DEN,DEN,2.32,-2
ATL,ATL,DET,DTW,1.15,0
ATL,ATL,GSW,SFO,4.55,-3
ATL,ATL,HOU,IAH,1.47,-1
ATL,ATL,IND,IND,0.84,-1
ATL,ATL,LAC,LAX,4.14,-3
ATL,ATL,LAL,LAX,4.14,-3
ATL,ATL,MEM,MEM,0.71,-1
ATL,ATL,MIA,MIA,1.16,0
ATL,ATL,MIL,MKE,1.3,-1
ATL,ATL,MIN,MSP,1.76,-1
ATL,ATL,NOP,MSY,0.82,-1
ATL,ATL,NYK,HPN,1.51,0
ATL,ATL,OKC,OKC,1.62,-1
ATL,ATL,ORL,MCO,0.78,0
ATL,ATL,PHI,PHL,1.29,0
ATL,ATL,PHX,PHX,3.38,-2
ATL,ATL,POR,PDX,4.2,-3
ATL,ATL,SAC,SMF,4.05,-3
ATL,ATL,SAS,SAT,1.86,-1
ATL,ATL,TOR,YYZ,1.43,0
ATL,ATL,UTA,SLC,3.08,-2
ATL,ATL,WAS,IAD,1.04,0
BOS,BED,ATL,ATL,1.82,0
BOS,BED,BKN,JFK,0.5,0
BOS,BED,CHA,CLT,1.4,0
BOS,BED,CHI,ORD,1.81,-1
BOS,BED,CLE,CLE,1.17,0
BOS,BED,DAL,DAL,3.28,-1
BOS,BED,DEN,DEN,3.7,-2
BOS,BED,DET,DTW,1.31,0
BOS,BED,GSW,SFO,5.72,-3
BOS,BED,HOU,IAH,3.07,-1
BOS,BED,IND,IND,1.71,-1
BOS,BED,LAC,LAX,5.53,-3
BOS,BED,LAL,LAX,5.53,-3
BOS,BED,MEM,MEM,2.18,-1
BOS,BED,MIA,MIA,2.44,0
BOS,BED,MIL,MKE,1.8,-1
BOS,BED,MIN,MSP,2.36,-1
BOS,BED,NOP,MSY,2.63,-1
BOS,BED,NYK,HPN,0.5,0
BOS,BED,OKC,OKC,3.18,-1
BOS,BED,ORL,MCO,2.17,0
BOS,BED,PHI,PHL,0.53,0
BOS,BED,PHX,PHX,4.86,-2
BOS,BED,POR,PDX,4.88,-3
BOS,BED,SAC,SMF,5.57,-3
BOS,BED,SAS,SAT,3.4,-1
BOS,BED,TOR,YYZ,0.91,0
BOS,BED,UTA,SLC,4.45,-2
BOS,BED,WAS,IAD,0.78,0
BKN,JFK,ATL,ATL,1.47,0
BKN,JFK,BOS,BED,0.5,0
BKN,JFK,CHA,CLT,1.05,0
BKN,JFK,CHI,ORD,1.57,-1
BKN,JFK,CLE,CLE,0.9,0
BKN,JFK,DAL,DAL,2.95,-1
BKN,JFK,DEN,DEN,3.46,-2
BKN,JFK,DET,DTW,1.08,0
BKN,JFK,GSW,SFO,5.5,-3
BKN,JFK,HOU,IAH,2.74,-1
BKN,JFK,IND,IND,1.41,-1
BKN,JFK,LAC,LAX,5.27,-3
BKN,JFK,LAL,LAX,5.27,-3
BKN,JFK,MEM,MEM,2.05,-1
BKN,JFK,MIA,MIA,2.12,0
BKN,JFK,MIL,MKE,1.59,-1
BKN,JFK,MIN,MSP,1.99,-1
BKN,JFK,NOP,MSY,2.29,-1
BKN,JFK,NYK,HPN,0.5,0
BKN,JFK,OKC,OKC,2.86,-1
BKN,JFK,ORL,MCO,1.83,0
BKN,JFK,PHI,PHL,0.5,0
BKN,JFK,PHX,PHX,4.58,-2
BKN,JFK,POR,PDX,4.75,-3
