row_num,name,description,logic,sources,dtype,feature_family,leakage_risk
1,player_turnover_features,"Player-game grain turnover detail, mined from play_by_play's type_text + athlete roles (R/features_playbyplay_events.R) - one row per player per game, every game player_game_logs has, with 0s for event types that didn't occur (not missing rows). 23 event columns (tov_bad_pass, tov_lost_ball, tov_offensive_foul, tov_traveling, ... plus stl_bad_pass/stl_lost_ball for steals forced by causing those two specific turnover types - the only ones ESPN ever attaches a second player to). Validated against player_game_logs.tov: 92.83% of player-games sum exactly - the gap is a real, structural ESPN data limitation (5 turnover types - shot clock, 5/8-second, excess timeout, too many players - never name a player at all in ESPN's feed, even though the NBA box score does credit someone), not a bug in the derivation.",NA,play_by_play; espn_player_id_mapping; player_game_logs,NA,NA,NA
2,player_id,Player's NBA Stats API identifier.,NA,hoopR API,character,identifier,safe
3,game_id_nba,NBA Stats API's canonical game identifier.,NA,hoopR API,character,identifier,safe
4,season,"Season string, e.g. '2022-23'.","Set explicitly to the season being pulled, not trusted from the API's own inconsistently-typed season field - see R/pull_schedule.R.",NA,character,identifier,safe
5,tov,Actual turnovers recorded in this exact game.,NA,hoopR::nba_leaguegamelog(),numeric,raw_actual,"UNSAFE - this game's actual result, never use to predict this same game"
6,stl_bad_pass,"Steals this player got by forcing a 'bad pass' turnover in this exact game, mined from play_by_play event text.",Counted from play_by_play rows where type_text matches this turnover subtype and this player is athlete_2 (who forced/stole it) - only Bad Pass and Lost Ball turnovers ever populate a second player (verified empirically: every other turnover type is 0%).,play_by_play.type_text; play_by_play.athlete_id_2 (via espn_player_id_mapping),integer,raw_actual,"UNSAFE - this game's actual result, never use to predict this same game"
7,tov_bad_pass,"Turnovers of type 'bad pass' this player committed in this exact game, mined from play_by_play event text.","Counted from play_by_play rows where type_text matches this turnover subtype and this player is athlete_1 (who committed it). NOTE: 5 turnover types (shot clock, 5/8-second, excess timeout, too many players) never name a player in ESPN's feed at all - those turnovers count toward player_game_logs.tov but can't be broken out here (~7% of all turnovers, verified empirically - see player_turnover_features table description).",play_by_play.type_text; play_by_play.athlete_id_1 (via espn_player_id_mapping),integer,raw_actual,"UNSAFE - this game's actual result, never use to predict this same game"
8,stl_lost_ball,"Steals this player got by forcing a 'lost ball' turnover in this exact game, mined from play_by_play event text.",Counted from play_by_play rows where type_text matches this turnover subtype and this player is athlete_2 (who forced/stole it) - only Bad Pass and Lost Ball turnovers ever populate a second player (verified empirically: every other turnover type is 0%).,play_by_play.type_text; play_by_play.athlete_id_2 (via espn_player_id_mapping),integer,raw_actual,"UNSAFE - this game's actual result, never use to predict this same game"
9,tov_lost_ball,"Turnovers of type 'lost ball' this player committed in this exact game, mined from play_by_play event text.","Counted from play_by_play rows where type_text matches this turnover subtype and this player is athlete_1 (who committed it). NOTE: 5 turnover types (shot clock, 5/8-second, excess timeout, too many players) never name a player in ESPN's feed at all - those turnovers count toward player_game_logs.tov but can't be broken out here (~7% of all turnovers, verified empirically - see player_turnover_features table description).",play_by_play.type_text; play_by_play.athlete_id_1 (via espn_player_id_mapping),integer,raw_actual,"UNSAFE - this game's actual result, never use to predict this same game"
10,tov_palming,"Turnovers of type 'palming' this player committed in this exact game, mined from play_by_play event text.","Counted from play_by_play rows where type_text matches this turnover subtype and this player is athlete_1 (who committed it). NOTE: 5 turnover types (shot clock, 5/8-second, excess timeout, too many players) never name a player in ESPN's feed at all - those turnovers count toward player_game_logs.tov but can't be broken out here (~7% of all turnovers, verified empirically - see player_turnover_features table description).",play_by_play.type_text; play_by_play.athlete_id_1 (via espn_player_id_mapping),integer,raw_actual,"UNSAFE - this game's actual result, never use to predict this same game"
11,tov_offensive_foul,"Turnovers of type 'offensive foul' this player committed in this exact game, mined from play_by_play event text.","Counted from play_by_play rows where type_text matches this turnover subtype and this player is athlete_1 (who committed it). NOTE: 5 turnover types (shot clock, 5/8-second, excess timeout, too many players) never name a player in ESPN's feed at all - those turnovers count toward player_game_logs.tov but can't be broken out here (~7% of all turnovers, verified empirically - see player_turnover_features table description).",play_by_play.type_text; play_by_play.athlete_id_1 (via espn_player_id_mapping),integer,raw_actual,"UNSAFE - this game's actual result, never use to predict this same game"
12,tov_kicked_ball,"Turnovers of type 'kicked ball' this player committed in this exact game, mined from play_by_play event text.","Counted from play_by_play rows where type_text matches this turnover subtype and this player is athlete_1 (who committed it). NOTE: 5 turnover types (shot clock, 5/8-second, excess timeout, too many players) never name a player in ESPN's feed at all - those turnovers count toward player_game_logs.tov but can't be broken out here (~7% of all turnovers, verified empirically - see player_turnover_features table description).",play_by_play.type_text; play_by_play.athlete_id_1 (via espn_player_id_mapping),integer,raw_actual,"UNSAFE - this game's actual result, never use to predict this same game"
13,tov_out_of_bounds_step,"Turnovers of type 'out of bounds step' this player committed in this exact game, mined from play_by_play event text.","Counted from play_by_play rows where type_text matches this turnover subtype and this player is athlete_1 (who committed it). NOTE: 5 turnover types (shot clock, 5/8-second, excess timeout, too many players) never name a player in ESPN's feed at all - those turnovers count toward player_game_logs.tov but can't be broken out here (~7% of all turnovers, verified empirically - see player_turnover_features table description).",play_by_play.type_text; play_by_play.athlete_id_1 (via espn_player_id_mapping),integer,raw_actual,"UNSAFE - this game's actual result, never use to predict this same game"
14,tov_back_court,"Turnovers of type 'back court' this player committed in this exact game, mined from play_by_play event text.","Counted from play_by_play rows where type_text matches this turnover subtype and this player is athlete_1 (who committed it). NOTE: 5 turnover types (shot clock, 5/8-second, excess timeout, too many players) never name a player in ESPN's feed at all - those turnovers count toward player_game_logs.tov but can't be broken out here (~7% of all turnovers, verified empirically - see player_turnover_features table description).",play_by_play.type_text; play_by_play.athlete_id_1 (via espn_player_id_mapping),integer,raw_actual,"UNSAFE - this game's actual result, never use to predict this same game"
15,tov_double_dribble,"Turnovers of type 'double dribble' this player committed in this exact game, mined from play_by_play event text.","Counted from play_by_play rows where type_text matches this turnover subtype and this player is athlete_1 (who committed it). NOTE: 5 turnover types (shot clock, 5/8-second, excess timeout, too many players) never name a player in ESPN's feed at all - those turnovers count toward player_game_logs.tov but can't be broken out here (~7% of all turnovers, verified empirically - see player_turnover_features table description).",play_by_play.type_text; play_by_play.athlete_id_1 (via espn_player_id_mapping),integer,raw_actual,"UNSAFE - this game's actual result, never use to predict this same game"
16,tov_inbound,"Turnovers of type 'inbound' this player committed in this exact game, mined from play_by_play event text.","Counted from play_by_play rows where type_text matches this turnover subtype and this player is athlete_1 (who committed it). NOTE: 5 turnover types (shot clock, 5/8-second, excess timeout, too many players) never name a player in ESPN's feed at all - those turnovers count toward player_game_logs.tov but can't be broken out here (~7% of all turnovers, verified empirically - see player_turnover_features table description).",play_by_play.type_text; play_by_play.athlete_id_1 (via espn_player_id_mapping),integer,raw_actual,"UNSAFE - this game's actual result, never use to predict this same game"
17,tov_3_second,"Turnovers of type '3 second' this player committed in this exact game, mined from play_by_play event text.","Counted from play_by_play rows where type_text matches this turnover subtype and this player is athlete_1 (who committed it). NOTE: 5 turnover types (shot clock, 5/8-second, excess timeout, too many players) never name a player in ESPN's feed at all - those turnovers count toward player_game_logs.tov but can't be broken out here (~7% of all turnovers, verified empirically - see player_turnover_features table description).",play_by_play.type_text; play_by_play.athlete_id_1 (via espn_player_id_mapping),integer,raw_actual,"UNSAFE - this game's actual result, never use to predict this same game"
18,tov_disc_dribble,"Turnovers of type 'disc dribble' this player committed in this exact game, mined from play_by_play event text.","Counted from play_by_play rows where type_text matches this turnover subtype and this player is athlete_1 (who committed it). NOTE: 5 turnover types (shot clock, 5/8-second, excess timeout, too many players) never name a player in ESPN's feed at all - those turnovers count toward player_game_logs.tov but can't be broken out here (~7% of all turnovers, verified empirically - see player_turnover_features table description).",play_by_play.type_text; play_by_play.athlete_id_1 (via espn_player_id_mapping),integer,raw_actual,"UNSAFE - this game's actual result, never use to predict this same game"
