row_num,name,description,logic,sources,dtype,feature_family,leakage_risk
1,team_rebounding_features,"Parsed advanced (shot-distance / contested) rebounding splits, one row per team per game. This-game actuals only - the rolling averages built from these live in team_game_features with an adv_ prefix.",NA,hoopR::nba_teamdashptreb() via data_raw/team_rebounding_dashboards.rds,NA,NA,NA
2,team_id,Team's NBA Stats API identifier.,NA,hoopR API,character,identifier,safe
3,game_id_nba,NBA Stats API's canonical game identifier.,NA,hoopR API,character,identifier,safe
4,oreb,Actual offensive rebounds (tracking data) recorded in this exact game (advanced tracking data).,NA,hoopR::nba_teamdashptreb(),numeric,raw_actual,"UNSAFE - this game's actual result, never use to predict this same game"
5,dreb,Actual defensive rebounds (tracking data) recorded in this exact game (advanced tracking data).,NA,hoopR::nba_teamdashptreb(),numeric,raw_actual,"UNSAFE - this game's actual result, never use to predict this same game"
6,reb,Actual total rebounds (tracking data) recorded in this exact game (advanced tracking data).,NA,hoopR::nba_teamdashptreb(),numeric,raw_actual,"UNSAFE - this game's actual result, never use to predict this same game"
7,c_oreb,Actual contested offensive rebounds recorded in this exact game (advanced tracking data).,NA,hoopR::nba_teamdashptreb(),numeric,raw_actual,"UNSAFE - this game's actual result, never use to predict this same game"
8,c_dreb,Actual contested defensive rebounds recorded in this exact game (advanced tracking data).,NA,hoopR::nba_teamdashptreb(),numeric,raw_actual,"UNSAFE - this game's actual result, never use to predict this same game"
9,c_reb,Actual contested total rebounds recorded in this exact game (advanced tracking data).,NA,hoopR::nba_teamdashptreb(),numeric,raw_actual,"UNSAFE - this game's actual result, never use to predict this same game"
10,reb_2pt_miss,Actual rebounds off a missed 2-point shot recorded in this exact game (advanced tracking data).,NA,hoopR::nba_teamdashptreb(),numeric,raw_actual,"UNSAFE - this game's actual result, never use to predict this same game"
11,reb_3pt_miss,Actual rebounds off a missed 3-point shot recorded in this exact game (advanced tracking data).,NA,hoopR::nba_teamdashptreb(),numeric,raw_actual,"UNSAFE - this game's actual result, never use to predict this same game"
12,reb_0_3,Actual rebounds grabbed 0-3 feet from the basket recorded in this exact game (advanced tracking data).,NA,hoopR::nba_teamdashptreb(),numeric,raw_actual,"UNSAFE - this game's actual result, never use to predict this same game"
13,reb_3_6,Actual rebounds grabbed 3-6 feet from the basket recorded in this exact game (advanced tracking data).,NA,hoopR::nba_teamdashptreb(),numeric,raw_actual,"UNSAFE - this game's actual result, never use to predict this same game"
14,reb_6_10,Actual rebounds grabbed 6-10 feet from the basket recorded in this exact game (advanced tracking data).,NA,hoopR::nba_teamdashptreb(),numeric,raw_actual,"UNSAFE - this game's actual result, never use to predict this same game"
15,reb_10_plus,Actual rebounds grabbed 10+ feet from the basket recorded in this exact game (advanced tracking data).,NA,hoopR::nba_teamdashptreb(),numeric,raw_actual,"UNSAFE - this game's actual result, never use to predict this same game"
