row_num,name,description,logic,sources,dtype,feature_family,leakage_risk
1,teams_raw,"NBA team reference/master data (all 30 teams), fully refreshed every pipeline run.",NA,hoopR::nba_teams(),NA,NA,NA
2,hr_league_id,Team reference field ('league_id') pulled directly from hoopR::nba_teams() - name is self-explanatory; review if not.,NA,hoopR::nba_teams(),character,reference,safe
3,hr_season_id,Team reference field ('season_id') pulled directly from hoopR::nba_teams() - name is self-explanatory; review if not.,NA,hoopR::nba_teams(),character,reference,safe
4,hr_team_id,Team reference field ('team_id') pulled directly from hoopR::nba_teams() - name is self-explanatory; review if not.,NA,hoopR::nba_teams(),character,reference,safe
5,hr_team_city,Team reference field ('team_city') pulled directly from hoopR::nba_teams() - name is self-explanatory; review if not.,NA,hoopR::nba_teams(),character,reference,safe
6,hr_team_name,Team reference field ('team_name') pulled directly from hoopR::nba_teams() - name is self-explanatory; review if not.,NA,hoopR::nba_teams(),character,reference,safe
7,hr_team_slug,Team reference field ('team_slug') pulled directly from hoopR::nba_teams() - name is self-explanatory; review if not.,NA,hoopR::nba_teams(),character,reference,safe
8,hr_conference,Team reference field ('conference') pulled directly from hoopR::nba_teams() - name is self-explanatory; review if not.,NA,hoopR::nba_teams(),character,reference,safe
9,hr_division,Team reference field ('division') pulled directly from hoopR::nba_teams() - name is self-explanatory; review if not.,NA,hoopR::nba_teams(),character,reference,safe
10,hr_team_abbreviation,Team reference field ('team_abbreviation') pulled directly from hoopR::nba_teams() - name is self-explanatory; review if not.,NA,hoopR::nba_teams(),character,reference,safe
11,hr_team_name_full,Team reference field ('team_name_full') pulled directly from hoopR::nba_teams() - name is self-explanatory; review if not.,NA,hoopR::nba_teams(),character,reference,safe
12,hr_season,Team reference field ('season') pulled directly from hoopR::nba_teams() - name is self-explanatory; review if not.,NA,hoopR::nba_teams(),character,reference,safe
13,hr_abbreviation,Team reference field ('abbreviation') pulled directly from hoopR::nba_teams() - name is self-explanatory; review if not.,NA,hoopR::nba_teams(),character,reference,safe
14,hr_alternate_color,Team reference field ('alternate_color') pulled directly from hoopR::nba_teams() - name is self-explanatory; review if not.,NA,hoopR::nba_teams(),character,reference,safe
15,hr_color,Team reference field ('color') pulled directly from hoopR::nba_teams() - name is self-explanatory; review if not.,NA,hoopR::nba_teams(),character,reference,safe
16,hr_display_name,Team reference field ('display_name') pulled directly from hoopR::nba_teams() - name is self-explanatory; review if not.,NA,hoopR::nba_teams(),character,reference,safe
17,hr_espn_team_id,Team reference field ('espn_team_id') pulled directly from hoopR::nba_teams() - name is self-explanatory; review if not.,NA,hoopR::nba_teams(),integer,reference,safe
18,hr_team,Team reference field ('team') pulled directly from hoopR::nba_teams() - name is self-explanatory; review if not.,NA,hoopR::nba_teams(),character,reference,safe
19,hr_logo,Team reference field ('logo') pulled directly from hoopR::nba_teams() - name is self-explanatory; review if not.,NA,hoopR::nba_teams(),character,reference,safe
20,hr_logo_dark,Team reference field ('logo_dark') pulled directly from hoopR::nba_teams() - name is self-explanatory; review if not.,NA,hoopR::nba_teams(),character,reference,safe
21,hr_logos_href_3,Team reference field ('logos_href_3') pulled directly from hoopR::nba_teams() - name is self-explanatory; review if not.,NA,hoopR::nba_teams(),character,reference,safe
22,hr_logos_href_4,Team reference field ('logos_href_4') pulled directly from hoopR::nba_teams() - name is self-explanatory; review if not.,NA,hoopR::nba_teams(),character,reference,safe
23,hr_logos_href_5,Team reference field ('logos_href_5') pulled directly from hoopR::nba_teams() - name is self-explanatory; review if not.,NA,hoopR::nba_teams(),character,reference,safe
24,hr_logos_href_6,Team reference field ('logos_href_6') pulled directly from hoopR::nba_teams() - name is self-explanatory; review if not.,NA,hoopR::nba_teams(),character,reference,safe
25,hr_logos_href_7,Team reference field ('logos_href_7') pulled directly from hoopR::nba_teams() - name is self-explanatory; review if not.,NA,hoopR::nba_teams(),character,reference,safe
26,hr_logos_href_8,Team reference field ('logos_href_8') pulled directly from hoopR::nba_teams() - name is self-explanatory; review if not.,NA,hoopR::nba_teams(),character,reference,safe
27,hr_logos_href_9,Team reference field ('logos_href_9') pulled directly from hoopR::nba_teams() - name is self-explanatory; review if not.,NA,hoopR::nba_teams(),character,reference,safe
28,hr_logos_href_10,Team reference field ('logos_href_10') pulled directly from hoopR::nba_teams() - name is self-explanatory; review if not.,NA,hoopR::nba_teams(),character,reference,safe
29,hr_logos_href_11,Team reference field ('logos_href_11') pulled directly from hoopR::nba_teams() - name is self-explanatory; review if not.,NA,hoopR::nba_teams(),character,reference,safe
30,hr_logos_href_12,Team reference field ('logos_href_12') pulled directly from hoopR::nba_teams() - name is self-explanatory; review if not.,NA,hoopR::nba_teams(),character,reference,safe
31,hr_logos_href_13,Team reference field ('logos_href_13') pulled directly from hoopR::nba_teams() - name is self-explanatory; review if not.,NA,hoopR::nba_teams(),character,reference,safe
32,hr_logos_href_14,Team reference field ('logos_href_14') pulled directly from hoopR::nba_teams() - name is self-explanatory; review if not.,NA,hoopR::nba_teams(),character,reference,safe
33,hr_logos_href_15,Team reference field ('logos_href_15') pulled directly from hoopR::nba_teams() - name is self-explanatory; review if not.,NA,hoopR::nba_teams(),character,reference,safe
34,hr_logos_href_16,Team reference field ('logos_href_16') pulled directly from hoopR::nba_teams() - name is self-explanatory; review if not.,NA,hoopR::nba_teams(),character,reference,safe
35,hr_mascot,Team reference field ('mascot') pulled directly from hoopR::nba_teams() - name is self-explanatory; review if not.,NA,hoopR::nba_teams(),character,reference,safe
36,hr_nickname,Team reference field ('nickname') pulled directly from hoopR::nba_teams() - name is self-explanatory; review if not.,NA,hoopR::nba_teams(),character,reference,safe
37,hr_nba_logo_svg,Team reference field ('nba_logo_svg') pulled directly from hoopR::nba_teams() - name is self-explanatory; review if not.,NA,hoopR::nba_teams(),character,reference,safe
